Zeilenbeschriftungen;Summe von Wohnort;Summe von Einpendler;Summe von Auspendler;Landkreis  
07133;60908;37956;45240;Bad Kreuznach
07134;30587;17470;18779;Birkenfeld
07135;23854;14372;17984;Cochem-Zell
07137;83445;53614;67322;Mayen-Koblenz
07138;71186;45975;52954;Neuwied
07140;42272;28790;31527;Rhein-Hunsrück-Kreis
07141;47100;23839;36968;Rhein-Lahn-Kreis
07143;81787;56201;67594;Westerwaldkreis
07211;35697;30386;10103;Trier, kreisfreie Stadt
07231;43953;28439;31095;Bernkastel-Wittlich
07232;30788;20722;22185;Eifelkreis Bitburg-Prüm
07233;23136;14943;16924;Vulkaneifel
07235;45905;22711;38204;Trier-Saarburg
07311;16090;13374;11042;Frankenthal (Pfalz), kreisfreie Stadt
07312;36809;31268;13897;Kaiserslautern, kreisfreie Stadt
07313;17523;16461;10195;Landau in der Pfalz, kreisfreie Stadt
07314;67758;72300;35225;Ludwigshafen am Rhein, kreisfreie Stadt
07315;87270;70677;43189;Mainz, kreisfreie Stadt
07316;20195;9964;12606;Neustadt an der Weinstraße, kreisfreie Stadt
07317;14293;11983;5593;Pirmasens, kreisfreie Stadt
07318;19457;20392;10551;Speyer, kreisfreie Stadt
07319;33865;17558;17374;Worms, kreisfreie Stadt
07320;13182;9517;7322;Zweibrücken, kreisfreie Stadt
07331;53123;22791;45688;Alzey-Worms
07332;52526;23369;43672;Bad Dürkheim
07333;30269;16884;23998;Donnersbergkreis
07334;54956;36580;45543;Germersheim
07335;40381;20671;35145;Kaiserslautern
07336;26899;9652;22370;Kusel
07337;43714;25204;37283;Südliche Weinstraße
07338;64248;21277;56981;Rhein-Pfalz-Kreis
07339;85888;44598;72899;Mainz-Bingen
07340;37117;10721;32445;Südwestpfalz
08111;265214;257924;97310;Stuttgart, Stadtkreis
08115;170047;147218;133223;Böblingen
08116;230140;168676;178701;Esslingen
08117;105512;65585;82006;Göppingen
08118;236187;161327;189835;Ludwigsburg
08119;180642;114432;141857;Rems-Murr-Kreis
08121;54503;44956;27664;Heilbronn, Stadtkreis
08125;153116;114747;121906;Heilbronn
08126;51720;45584;37914;Hohenlohekreis
08127;86694;54261;56585;Schwäbisch Hall
08128;56672;36997;36895;Main-Tauber-Kreis
08135;55532;34506;36725;Heidenheim
08136;131616;82012;84664;Ostalbkreis
08211;21487;20510;11303;Baden-Baden, Stadtkreis
