Nr;Gemeinde;Wohnort;  Männer  ;  Frauen  ; Deutsche ;Ausländer;u. 20 J.;20 - u 25 J.;55 J. u älter;Arbeitsort;"Wohnort
gleich
Arbeitsort";Einpendler;Auspendler;"Zahl 
der 
Betriebe";;;
03461008;Ovelgönne;2,180;1,171;1,009;2,103;77;63;187;489;1,234;394;839;1,786;140;;;
03461009;Stadland;2,912;1,682;1,230;2,781;131;110;250;661;1,590;597;992;2,315;163;;;
;;;;;;;;;;;;;;;;;
03461;Wesermarsch;34,751;19,886;14,865;32,570;2,171;1,080;3,118;7,935;30,481;21,818;8,645;12,932;2,027;;;
;;;;;;;;;;;;;;;;;
03462001;Blomberg;734;413;321;722;11;23;80;117;254;65;189;669;49;;;
03462002;Dunum;376;190;186;*;*;8;39;85;50;20;30;356;19;;;
03462003;Esens, Stadt;2,420;1,238;1,182;2,286;133;73;208;574;2,511;887;1,623;1,533;285;;;
03462004;Eversmeer;375;226;149;371;4;18;38;75;15;4;11;371;7;;;
03462005;Friedeburg;3,800;2,020;1,780;3,692;108;118;317;832;2,734;952;1,781;2,846;287;;;
03462006;Holtgast;625;355;270;608;17;23;76;117;160;40;120;585;35;;;
03462007;Langeoog;990;488;502;731;259;27;86;189;1,198;873;321;117;172;;;
03462008;Moorweg;342;175;167;336;6;12;34;76;62;13;49;329;18;;;
03462009;Nenndorf;277;156;121;274;3;9;27;49;106;17;89;260;13;;;
03462010;Neuharlingersiel;315;166;149;299;16;11;36;80;671;110;561;205;91;;;
03462011;Neuschoo;453;255;198;445;8;16;53;97;66;18;48;435;16;;;
03462012;Ochtersum;312;186;126;308;4;10;26;54;49;16;33;296;13;;;
03462013;Schweindorf;249;141;108;249;;4;40;32;116;14;102;235;12;;;
03462014;Spiekeroog;478;204;274;339;139;13;25;92;491;361;128;117;79;;;
03462015;Stedesdorf;588;318;270;*;*;19;54;111;111;27;84;561;26;;;
03462016;Utarp;246;141;105;*;*;14;26;38;48;7;41;239;9;;;
03462017;Werdum;258;135;123;241;17;6;23;61;130;42;88;216;26;;;
03462018;Westerholt;939;521;418;926;13;39;100;178;868;124;744;815;94;;;
03462019;Wittmund, Stadt;6,975;3,684;3,291;6,699;276;201;643;1,642;6,808;3,070;3,736;3,903;555;;;
;;;;;;;;;;;;;;;;;
03462;Wittmund;20,752;11,012;9,740;19,731;1,019;644;1,931;4,499;16,448;10,827;5,611;9,921;1,806;;;
;;;;;;;;;;;;;;;;;
03;Niedersachsen;3,144,468;1,709,174;1,435,294;2,870,658;272,580;69,262;260,054;669,777;3,007,560;2,704,000;301,897;440,369;199,942;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
04011000;Bremen, Stadt;208,919;113,252;95,667;177,295;31,487;3,226;17,145;41,933;281,384;162,646;118,623;46,268;13,651;;;
;;;;;;;;;;;;;;;;;
04012000;Bremerhaven, Stadt;40,837;23,225;17,612;34,314;6,507;830;3,732;8,784;52,883;28,814;24,053;12,023;2,577;;;
;;;;;;;;;;;;;;;;;
04;Bremen;249,756;136,477;113,279;211,609;37,994;4,056;20,877;50,717;334,267;196,492;137,644;53,259;16,228;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
05111000;Düsseldorf, Stadt;251,511;131,261;120,250;201,226;49,788;2,339;16,407;42,746;424,470;162,854;261,388;88,636;22,396;;;
;;;;;;;;;;;;;;;;;
05112000;Duisburg, Stadt;174,739;101,255;73,484;142,735;31,818;2,797;15,672;35,087;175,307;88,527;86,678;86,190;8,752;;;
;;;;;;;;;;;;;;;;;
05113000;Essen, Stadt;206,496;110,799;95,697;181,674;24,590;2,766;15,955;41,460;250,602;120,800;129,689;85,671;13,152;;;
;;;;;;;;;;;;;;;;;
05114000;Krefeld, Stadt;83,232;45,914;37,318;70,527;12,618;1,301;6,696;17,506;94,415;42,885;51,443;40,345;5,613;;;
;;;;;;;;;;;;;;;;;
05116000;Mönchengladbach, Stadt;96,787;53,174;43,613;83,337;13,279;1,540;8,198;20,636;100,119;54,874;45,183;41,910;6,317;;;
;;;;;;;;;;;;;;;;;
05117000;Mülheim an der Ruhr, Stadt;60,402;32,379;28,023;53,212;7,132;806;4,376;13,679;59,416;23,745;35,644;36,651;3,997;;;
;;;;;;;;;;;;;;;;;
05119000;Oberhausen, Stadt;75,238;41,738;33,500;65,769;9,402;1,185;6,258;15,821;66,327;28,839;37,455;46,398;4,275;;;
;;;;;;;;;;;;;;;;;
05120000;Remscheid, Stadt;42,333;23,699;18,634;35,265;7,033;727;3,555;9,274;46,033;24,454;21,560;17,877;2,768;;;
;;;;;;;;;;;;;;;;;
05122000;Solingen, Klingenstadt;62,470;33,641;28,829;52,957;9,459;1,009;5,061;13,891;53,934;33,910;19,984;28,559;3,983;;;
;;;;;;;;;;;;;;;;;
05124000;Wuppertal, Stadt;127,846;70,205;57,641;107,094;20,632;1,989;10,242;27,267;126,634;76,684;49,885;51,156;7,986;;;
;;;;;;;;;;;;;;;;;
05154004;Bedburg-Hau;5,117;2,671;2,446;4,751;365;114;401;1,105;5,455;1,112;4,339;4,005;268;;;
05154008;Emmerich am Rhein, Stadt;9,733;5,163;4,570;8,472;1,259;233;886;2,199;10,576;5,244;5,324;4,489;791;;;
05154012;Geldern, Stadt;13,505;7,203;6,302;11,772;1,730;276;1,224;2,842;14,227;5,759;8,458;7,746;1,060;;;
05154016;Goch, Stadt;12,563;6,696;5,867;11,479;1,080;287;1,097;2,684;9,388;4,438;4,947;8,125;871;;;
05154020;Issum;4,509;2,431;2,078;4,306;201;97;349;1,040;2,379;741;1,638;3,768;264;;;
05154024;Kalkar, Stadt;5,334;2,854;2,480;5,000;333;131;548;1,129;3,349;1,248;2,098;4,086;388;;;
05154028;Kerken;5,016;2,711;2,305;4,726;289;101;413;1,087;1,846;771;1,075;4,245;280;;;
05154032;Kevelaer, Stadt;11,017;5,883;5,134;9,704;1,311;231;955;2,310;8,052;4,010;4,037;7,007;838;;;
05154036;Kleve, Stadt;17,156;9,092;8,064;15,024;2,121;380;1,714;3,596;22,185;8,765;13,407;8,391;1,547;;;
05154040;Kranenburg;2,983;1,541;1,442;2,677;305;76;298;677;1,987;806;1,179;2,177;196;;;
05154044;Rees, Stadt;8,243;4,579;3,664;7,896;344;231;794;1,783;5,172;2,310;2,861;5,933;527;;;
05154048;Rheurdt;2,480;1,298;1,182;2,366;114;39;171;589;533;171;361;2,309;137;;;
05154052;Straelen, Stadt;7,349;4,046;3,303;5,713;1,635;221;795;1,413;8,398;3,490;4,900;3,859;662;;;
05154056;Uedem;3,242;1,777;1,465;3,049;193;93;305;715;3,270;841;2,429;2,401;227;;;
05154060;Wachtendonk;3,311;1,882;1,429;2,875;436;79;247;704;1,848;608;1,239;2,703;253;;;
05154064;Weeze;4,041;2,278;1,763;3,347;694;117;361;806;4,038;992;3,043;3,049;271;;;
;;;;;;;;;;;;;;;;;
05154;Kleve;115,599;62,105;53,494;103,157;12,410;2,706;10,558;24,679;102,703;80,650;21,991;34,949;8,580;;;
;;;;;;;;;;;;;;;;;
05158004;Erkrath, Stadt;15,846;8,435;7,411;13,996;1,831;242;1,098;3,856;12,920;2,880;10,036;12,966;1,106;;;
05158008;Haan, Stadt;11,473;5,931;5,542;10,363;1,104;140;698;2,811;10,683;2,410;8,266;9,063;978;;;
05158012;Heiligenhaus, Stadt;10,003;5,373;4,630;8,574;1,422;141;726;2,248;7,857;2,376;5,475;7,625;594;;;
05158016;Hilden, Stadt;22,092;11,516;10,576;19,467;2,611;277;1,514;5,184;23,439;5,852;17,573;16,239;1,757;;;
05158020;Langenfeld (Rheinland), Stadt;24,004;12,685;11,319;21,838;2,156;310;1,679;5,557;28,963;7,064;21,886;16,939;1,793;;;
05158024;Mettmann, Stadt;14,584;7,899;6,685;12,967;1,610;190;1,041;3,412;13,032;4,214;8,810;10,369;990;;;
05158026;Monheim am Rhein, Stadt;15,778;8,658;7,120;13,807;1,958;245;1,127;3,581;15,481;3,592;11,881;12,186;928;;;
05158028;Ratingen, Stadt;33,312;17,444;15,868;29,659;3,614;408;2,131;7,689;43,749;10,527;33,199;22,783;2,620;;;
05158032;Velbert, Stadt;32,080;17,444;14,636;27,731;4,330;481;2,631;7,427;30,951;14,088;16,844;17,990;2,066;;;
05158036;Wülfrath, Stadt;8,269;4,481;3,788;7,385;879;139;576;1,998;6,281;1,837;4,440;6,431;458;;;
;;;;;;;;;;;;;;;;;
05158;Mettmann;187,441;99,866;87,575;165,787;21,515;2,573;13,221;43,763;193,356;87,849;105,401;99,582;13,290;;;
;;;;;;;;;;;;;;;;;
05162004;Dormagen, Stadt;25,834;14,464;11,370;22,892;2,924;425;2,056;5,618;18,702;8,321;10,371;17,511;1,281;;;
05162008;Grevenbroich, Stadt;25,986;14,808;11,178;22,526;3,441;459;2,026;5,438;23,442;9,109;14,318;16,877;1,440;;;
05162012;Jüchen, Stadt;9,204;5,046;4,158;8,572;624;150;687;1,938;3,357;1,111;2,244;8,093;399;;;
05162016;Kaarst, Stadt;15,970;8,337;7,633;14,566;1,380;195;1,017;3,599;9,074;2,460;6,610;13,510;1,118;;;
05162020;Korschenbroich, Stadt;13,149;6,868;6,281;12,388;753;187;792;3,162;7,118;1,866;5,251;11,283;847;;;
05162022;Meerbusch, Stadt;20,533;10,630;9,903;18,098;2,416;219;1,184;4,636;13,883;3,450;10,425;17,082;1,575;;;
05162024;Neuss, Stadt;60,609;32,631;27,978;51,773;8,764;940;4,436;12,694;72,395;24,291;48,056;36,313;4,277;;;
05162028;Rommerskirchen;5,684;3,195;2,489;5,245;438;99;409;1,164;2,188;617;1,569;5,067;283;;;
;;;;;;;;;;;;;;;;;
05162;Rhein-Kreis Neuss;176,969;95,979;80,990;156,060;20,740;2,674;12,607;38,249;150,159;80,817;69,252;96,144;11,220;;;
;;;;;;;;;;;;;;;;;
05166004;Brüggen, Burggemeinde;5,977;3,214;2,763;5,420;556;126;505;1,375;4,921;1,429;3,487;4,548;451;;;
05166008;Grefrath, Sport- u. Freiz.gem.;5,828;3,092;2,736;5,512;314;88;446;1,442;3,200;1,061;2,137;4,766;355;;;
05166012;Kempen, Stadt;13,068;6,945;6,123;12,199;865;233;1,011;3,183;13,850;4,085;9,759;8,983;1,067;;;
05166016;Nettetal, Stadt;15,340;8,150;7,190;13,714;1,615;303;1,335;3,387;11,024;5,538;5,479;9,801;1,164;;;
05166020;Niederkrüchten;5,658;3,056;2,602;5,175;482;108;445;1,403;2,845;1,063;1,778;4,595;370;;;
05166024;Schwalmtal;7,298;3,909;3,389;6,761;533;154;598;1,839;4,831;1,415;3,416;5,883;448;;;
05166028;Tönisvorst, Stadt;11,386;6,108;5,278;10,443;940;178;785;2,794;7,631;2,113;5,511;9,273;734;;;
05166032;Viersen, Stadt;27,990;15,099;12,891;25,204;2,766;495;2,358;6,160;28,385;10,568;17,806;17,421;2,067;;;
05166036;Willich, Stadt;19,928;10,743;9,185;18,156;1,765;321;1,540;4,558;17,363;4,966;12,390;14,961;1,607;;;
;;;;;;;;;;;;;;;;;
05166;Viersen;112,473;60,316;52,157;102,584;9,836;2,006;9,023;26,141;94,050;54,905;39,096;57,564;8,263;;;
;;;;;;;;;;;;;;;;;
05170004;Alpen;4,974;2,681;2,293;4,756;215;84;348;1,239;4,087;937;3,150;4,037;277;;;
05170008;Dinslaken, Stadt;24,993;13,575;11,418;23,025;1,944;401;1,902;5,600;20,188;7,099;13,075;17,892;1,483;;;
05170012;Hamminkeln, Stadt;10,399;5,781;4,618;9,979;417;241;837;2,284;6,816;2,605;4,208;7,791;678;;;
05170016;Hünxe;4,925;2,619;2,306;4,736;183;71;339;1,192;3,100;596;2,499;4,329;344;;;
05170020;Kamp-Lintfort, Stadt;13,578;7,418;6,160;11,880;1,695;260;1,152;2,661;10,189;3,410;6,777;10,167;768;;;
05170024;Moers, Stadt;36,061;19,629;16,432;31,984;4,049;484;2,650;7,977;33,520;11,392;22,112;24,668;2,291;;;
05170028;Neukirchen-Vluyn, Stadt;9,921;5,251;4,670;9,240;674;165;699;2,240;7,051;1,913;5,130;8,008;589;;;
05170032;Rheinberg, Stadt;12,461;6,710;5,751;11,784;672;187;918;2,885;8,664;2,380;6,278;10,081;664;;;
05170036;Schermbeck;5,210;2,858;2,352;4,995;211;99;414;1,243;3,412;1,154;2,257;4,056;431;;;
05170040;Sonsbeck;3,313;1,738;1,575;3,151;162;72;248;761;2,904;648;2,255;2,663;240;;;
05170044;Voerde (Niederrhein), Stadt;13,412;7,397;6,015;12,504;902;241;1,150;3,020;8,415;2,600;5,811;10,810;615;;;
05170048;Wesel, Stadt;22,342;12,198;10,144;20,597;1,734;364;1,903;4,943;25,034;9,823;15,199;12,519;1,602;;;
05170052;Xanten, Stadt;7,900;4,216;3,684;7,507;393;124;632;2,021;4,880;2,165;2,713;5,735;541;;;
;;;;;;;;;;;;;;;;;
05170;Wesel;169,489;92,071;77,418;156,138;13,251;2,793;13,192;38,066;138,260;84,827;53,359;84,651;10,523;;;
;;;;;;;;;;;;;;;;;
051;Reg.-Bez. Düsseldorf;1,943,025;1,054,402;888,623;1,677,522;263,503;29,211;151,021;408,265;2,075,785;1,674,575;400,053;268,328;131,115;;;
;;;;;;;;;;;;;;;;;
05314000;Bonn, Stadt;119,965;61,810;58,155;100,233;19,598;1,533;9,011;22,371;180,528;74,962;105,487;45,000;9,118;;;
;;;;;;;;;;;;;;;;;
05315000;Köln, Stadt;426,259;224,505;201,754;353,081;72,543;5,201;32,528;70,005;582,613;298,104;284,207;128,138;31,093;;;
;;;;;;;;;;;;;;;;;
05316000;Leverkusen, Stadt;63,556;35,292;28,264;54,252;9,225;897;4,940;13,382;65,077;27,924;37,124;35,630;3,240;;;
;;;;;;;;;;;;;;;;;
05334002;Aachen, Stadt;91,835;51,041;40,794;76,907;14,834;991;9,213;16,017;136,167;63,951;72,132;27,882;7,144;;;
05334004;Alsdorf, Stadt;17,228;9,706;7,522;14,942;2,272;333;1,612;3,533;10,397;3,413;6,979;13,814;815;;;
05334008;Baesweiler, Stadt;10,396;5,842;4,554;8,949;1,441;208;918;2,021;5,748;1,847;3,897;8,549;555;;;
05334012;Eschweiler, Stadt;20,761;11,591;9,170;18,577;2,170;354;1,760;4,374;19,372;7,462;11,904;13,298;1,289;;;
05334016;Herzogenrath, Stadt;17,500;9,376;8,124;15,829;1,663;281;1,325;3,817;9,791;3,342;6,441;14,158;910;;;
05334020;Monschau, Stadt;4,419;2,357;2,062;4,093;325;117;352;1,129;3,432;1,550;1,880;2,869;365;;;
05334024;Roetgen, Tor zur Eifel;3,138;1,652;1,486;2,967;171;33;188;813;1,422;396;1,024;2,741;224;;;
05334028;Simmerath;5,965;3,193;2,772;5,707;255;115;508;1,396;4,080;1,791;2,287;4,173;455;;;
05334032;Stolberg (Rhld.), Kupferstadt;20,593;11,461;9,132;18,094;2,481;351;1,805;4,468;14,625;6,283;8,332;14,310;1,164;;;
05334036;Würselen, Stadt;14,910;7,942;6,968;13,335;1,557;218;1,137;3,167;14,483;3,174;11,296;11,732;1,023;;;
;;;;;;;;;;;;;;;;;
05334;Städteregion Aachen;206,745;114,161;92,584;179,400;27,169;3,001;18,818;40,735;219,517;166,425;52,956;40,310;13,944;;;
;;;;;;;;;;;;;;;;;
05358004;Aldenhoven;5,446;3,118;2,328;4,878;561;109;467;1,143;2,988;747;2,239;4,699;249;;;
05358008;Düren, Stadt;32,095;18,131;13,964;27,459;4,604;570;3,036;6,487;44,432;16,866;27,542;15,225;2,427;;;
05358012;Heimbach, Stadt;1,574;860;714;1,500;74;49;109;390;572;273;298;1,301;111;;;
05358016;Hürtgenwald;3,346;1,796;1,550;3,202;144;84;265;790;1,142;426;716;2,920;158;;;
05358020;Inden;3,102;1,679;1,423;2,970;130;51;227;597;1,035;267;768;2,835;130;;;
05358024;Jülich, Stadt;12,617;7,115;5,502;11,087;1,514;223;1,180;2,759;15,819;5,020;10,786;7,596;894;;;
05358028;Kreuzau;6,639;3,534;3,105;6,385;252;128;547;1,610;3,480;1,050;2,429;5,589;367;;;
05358032;Langerwehe;5,648;3,172;2,476;5,329;317;90;455;1,208;1,683;536;1,143;5,112;247;;;
05358036;Linnich, Stadt;5,034;2,813;2,221;4,623;409;100;432;1,056;3,639;868;2,766;4,166;250;;;
05358040;Merzenich;3,770;2,073;1,697;3,594;173;60;305;859;1,417;311;1,104;3,459;155;;;
05358044;Nideggen, Stadt;3,765;2,079;1,686;3,614;150;94;309;902;1,464;538;926;3,227;238;;;
05358048;Niederzier;5,773;3,222;2,551;5,360;412;126;479;1,239;4,248;907;3,338;4,866;260;;;
05358052;Nörvenich;4,321;2,343;1,978;4,036;284;75;360;1,021;1,823;459;1,364;3,862;188;;;
05358056;Titz;3,352;1,847;1,505;3,225;124;72;232;785;963;327;635;3,025;165;;;
05358060;Vettweiß;3,798;2,104;1,694;3,558;240;83;314;861;1,062;369;692;3,429;164;;;
;;;;;;;;;;;;;;;;;
05358;Düren;100,280;55,886;44,394;90,820;9,388;1,914;8,717;21,707;85,767;56,951;28,759;43,324;6,003;;;
;;;;;;;;;;;;;;;;;
05362004;Bedburg, Stadt;9,534;5,437;4,097;8,584;944;218;791;1,985;4,190;1,666;2,519;7,868;490;;;
05362008;Bergheim, Stadt;23,451;13,539;9,912;19,568;3,859;448;2,006;4,877;19,292;5,839;13,440;17,611;1,335;;;
05362012;Brühl, Stadt;17,281;9,348;7,933;14,715;2,557;267;1,369;3,728;15,777;4,662;11,095;12,619;1,068;;;
05362016;Elsdorf, Stadt;8,666;4,794;3,872;7,800;857;192;758;1,722;3,765;1,374;2,389;7,292;417;;;
05362020;Erftstadt, Stadt;18,606;9,993;8,613;17,108;1,483;305;1,442;4,276;9,736;3,777;5,953;14,829;1,133;;;
05362024;Frechen, Stadt;20,766;11,137;9,629;18,093;2,651;309;1,457;4,321;19,633;4,636;14,984;16,130;1,436;;;
05362028;Hürth, Stadt;25,283;13,416;11,867;21,890;3,375;330;1,899;4,868;23,862;5,510;18,344;19,773;1,600;;;
05362032;Kerpen, Kolpingstadt;26,126;14,518;11,608;22,652;3,448;481;2,141;5,252;21,348;6,056;15,269;20,069;1,405;;;
05362036;Pulheim, Stadt;20,196;10,635;9,561;18,248;1,932;287;1,376;4,540;13,457;3,756;9,693;16,439;1,347;;;
05362040;Wesseling, Stadt;14,874;8,303;6,571;12,107;2,752;333;1,349;3,071;14,310;3,579;10,722;11,294;821;;;
;;;;;;;;;;;;;;;;;
05362;Rhein-Erft-Kreis;184,783;101,120;83,663;160,765;23,858;3,170;14,588;38,640;145,370;78,555;66,708;106,224;11,052;;;
;;;;;;;;;;;;;;;;;
05366004;Bad Münstereifel, Stadt;6,411;3,355;3,056;6,063;346;117;523;1,659;3,652;1,560;2,090;4,851;451;;;
05366008;Blankenheim;2,944;1,638;1,306;2,783;159;98;276;699;2,014;619;1,393;2,325;195;;;
05366012;Dahlem;1,528;847;681;1,450;78;39;134;362;562;214;348;1,314;82;;;
05366016;Euskirchen, Stadt;21,591;11,683;9,908;19,355;2,213;454;1,934;4,579;22,201;8,674;13,519;12,916;1,522;;;
05366020;Hellenthal;2,917;1,650;1,267;2,785;129;101;301;708;2,637;969;1,665;1,948;150;;;
05366024;Kall;4,500;2,461;2,039;4,320;177;138;374;1,098;3,516;1,079;2,436;3,421;282;;;
05366028;Mechernich, Stadt;10,355;5,570;4,785;9,703;646;246;836;2,332;7,561;2,775;4,781;7,580;611;;;
05366032;Nettersheim;2,992;1,580;1,412;2,887;104;81;286;692;1,829;508;1,321;2,484;172;;;
05366036;Schleiden, Stadt;4,892;2,643;2,249;4,580;309;114;453;1,212;3,429;1,420;2,008;3,472;340;;;
05366040;Weilerswist;7,387;4,008;3,379;6,844;540;128;564;1,489;4,678;1,109;3,564;6,278;348;;;
05366044;Zülpich, Stadt;8,106;4,324;3,782;7,717;387;195;705;1,835;5,829;1,997;3,832;6,109;453;;;
;;;;;;;;;;;;;;;;;
05366;Euskirchen;73,623;39,759;33,864;68,487;5,088;1,711;6,386;16,665;57,908;42,955;14,926;30,667;4,606;;;
;;;;;;;;;;;;;;;;;
05370004;Erkelenz, Stadt;17,109;9,369;7,740;15,983;1,113;283;1,420;3,729;13,796;5,006;8,780;12,103;1,140;;;
05370008;Gangelt;4,412;2,365;2,047;4,051;359;89;371;950;3,790;1,062;2,724;3,350;279;;;
05370012;Geilenkirchen, Stadt;10,167;5,484;4,683;9,294;865;215;939;2,218;8,943;2,859;6,079;7,308;715;;;
05370016;Heinsberg, Stadt;15,678;8,614;7,064;14,018;1,652;330;1,469;3,301;17,537;6,390;11,141;9,288;1,212;;;
05370020;Hückelhoven, Stadt;14,814;8,488;6,326;12,922;1,878;390;1,453;2,866;10,556;4,091;6,458;10,723;828;;;
05370024;Selfkant;2,718;1,493;1,225;2,339;377;63;272;596;1,296;619;676;2,099;212;;;
05370028;Übach-Palenberg, Stadt;9,065;5,145;3,920;8,118;938;224;892;1,900;7,633;2,065;5,566;7,000;509;;;
05370032;Waldfeucht;3,118;1,682;1,436;2,927;190;65;275;725;1,400;455;945;2,663;180;;;
05370036;Wassenberg, Stadt;6,809;3,700;3,109;6,288;516;158;600;1,522;3,236;1,094;2,141;5,715;382;;;
05370040;Wegberg, Stadt;10,542;5,598;4,944;9,943;589;209;825;2,549;5,478;1,976;3,501;8,566;650;;;
;;;;;;;;;;;;;;;;;
05370;Heinsberg;94,432;51,938;42,494;85,883;8,477;2,026;8,516;20,356;73,665;54,287;19,341;40,145;6,107;;;
;;;;;;;;;;;;;;;;;
05374004;Bergneustadt, Stadt;7,323;4,296;3,027;6,089;1,227;176;647;1,549;4,859;2,031;2,826;5,292;390;;;
05374008;Engelskirchen;7,728;4,203;3,525;7,064;658;153;606;1,848;6,947;2,111;4,834;5,617;499;;;
05374012;Gummersbach, Stadt;19,901;11,353;8,548;17,564;2,322;413;1,906;4,234;28,807;7,912;20,883;11,988;1,370;;;
05374016;Hückeswagen, Schloss-Stadt;6,101;3,403;2,698;5,608;485;148;478;1,438;4,936;1,678;3,258;4,423;399;;;
05374020;Lindlar;8,863;4,852;4,011;8,259;590;210;775;2,075;6,575;2,667;3,907;6,196;573;;;
05374024;Marienheide;5,362;3,122;2,240;4,964;398;160;464;1,237;3,921;1,307;2,613;4,055;277;;;
05374028;Morsbach;4,287;2,462;1,825;3,996;291;107;388;920;5,659;1,637;4,019;2,650;234;;;
05374032;Nümbrecht;6,876;3,797;3,079;6,458;412;171;621;1,582;4,216;1,599;2,615;5,277;353;;;
05374036;Radevormwald, Stadt a. d. Höhe;8,759;4,798;3,961;7,782;973;146;702;2,114;8,156;3,672;4,481;5,087;589;;;
05374040;Reichshof;7,758;4,387;3,371;7,366;387;202;706;1,722;6,550;1,905;4,643;5,853;411;;;
05374044;Waldbröl, Stadt;7,470;4,273;3,197;6,649;815;195;712;1,595;5,231;2,142;3,086;5,327;498;;;
05374048;Wiehl, Stadt;10,225;5,519;4,706;9,630;589;216;846;2,473;12,005;3,399;8,602;6,826;687;;;
05374052;Wipperfürth, Hansestadt;8,979;4,908;4,071;8,183;790;198;818;1,972;8,018;3,900;4,112;5,078;626;;;
;;;;;;;;;;;;;;;;;
05374;Oberbergischer Kreis;109,632;61,373;48,259;99,612;9,937;2,495;9,669;24,759;105,880;74,578;31,261;35,051;6,906;;;
;;;;;;;;;;;;;;;;;
05378004;Bergisch Gladbach, Stadt;40,410;21,015;19,395;36,184;4,178;549;2,813;9,511;34,118;13,351;20,756;27,059;3,066;;;
05378008;Burscheid, Stadt;7,644;4,217;3,427;6,756;883;136;586;1,858;6,602;1,765;4,833;5,879;455;;;
05378012;Kürten;7,793;4,144;3,649;7,364;428;148;658;1,764;3,702;1,428;2,272;6,365;469;;;
05378016;Leichlingen (Rheinland), Stadt;11,003;5,871;5,132;10,123;862;190;741;2,612;4,659;1,765;2,893;9,238;624;;;
05378020;Odenthal;5,846;3,050;2,796;5,518;325;90;378;1,491;1,493;447;1,044;5,399;295;;;
05378024;Overath, Stadt;10,276;5,490;4,786;9,452;822;182;817;2,328;6,905;2,215;4,686;8,061;814;;;
05378028;Rösrath, Stadt;10,987;5,679;5,308;10,001;975;180;744;2,611;5,294;1,603;3,686;9,382;689;;;
05378032;Wermelskirchen, Stadt;13,936;7,461;6,475;12,851;1,078;217;1,053;3,379;12,671;4,838;7,830;9,098;903;;;
;;;;;;;;;;;;;;;;;
05378;Rheinisch-Bergischer Kreis;107,895;56,927;50,968;98,249;9,551;1,692;7,790;25,554;75,444;39,861;35,551;68,032;7,315;;;
;;;;;;;;;;;;;;;;;
05382004;Alfter;9,117;4,737;4,380;8,074;1,034;144;692;2,138;3,218;826;2,390;8,291;408;;;
05382008;Bad Honnef, Stadt;9,060;4,678;4,382;8,072;985;156;713;2,220;7,738;2,229;5,504;6,831;774;;;
05382012;Bornheim, Stadt;19,656;10,321;9,335;17,634;1,997;381;1,499;4,362;11,425;3,721;7,685;15,932;1,057;;;
05382016;Eitorf;7,069;3,933;3,136;6,203;862;145;583;1,611;5,417;2,535;2,880;4,533;447;;;
05382020;Hennef (Sieg), Stadt;18,959;10,044;8,915;17,594;1,352;437;1,495;4,121;12,618;4,272;8,336;14,687;1,126;;;
05382024;Königswinter, Stadt;15,204;7,953;7,251;13,710;1,484;313;1,067;3,573;8,247;2,814;5,430;12,388;972;;;
05382028;Lohmar, Stadt;11,364;6,010;5,354;10,614;745;246;881;2,690;6,726;1,876;4,850;9,488;695;;;
05382032;Meckenheim, Stadt;7,991;4,217;3,774;7,135;856;157;576;2,010;8,624;1,881;6,738;6,109;594;;;
05382036;Much;5,713;3,050;2,663;5,404;307;143;499;1,303;3,299;1,280;2,019;4,433;370;;;
05382040;Neunkirchen-Seelscheid;7,374;3,816;3,558;6,938;431;175;579;1,762;4,327;1,409;2,913;5,965;470;;;
05382044;Niederkassel, Stadt;15,515;8,213;7,302;14,084;1,419;290;1,255;3,366;6,051;2,712;3,334;12,803;696;;;
05382048;Rheinbach, Stadt;9,607;4,839;4,768;8,837;762;190;740;2,173;7,391;2,253;5,132;7,354;732;;;
05382052;Ruppichteroth;4,289;2,277;2,012;3,654;632;102;378;928;1,641;653;988;3,636;203;;;
05382056;Sankt Augustin, Stadt;20,088;10,482;9,606;18,028;2,044;380;1,529;4,697;16,823;3,596;13,221;16,490;1,186;;;
05382060;Siegburg, Stadt;16,363;8,708;7,655;14,219;2,126;317;1,391;3,158;18,951;3,864;15,082;12,499;1,350;;;
05382064;Swisttal;6,849;3,629;3,220;6,292;546;141;498;1,536;2,564;854;1,706;5,995;324;;;
05382068;Troisdorf, Stadt;30,223;16,098;14,125;26,067;4,125;507;2,441;6,535;31,915;9,359;22,535;20,864;2,002;;;
05382072;Wachtberg;7,456;3,722;3,734;6,786;668;149;480;1,753;3,573;1,063;2,506;6,393;455;;;
05382076;Windeck;6,805;3,712;3,093;6,439;361;169;609;1,694;2,905;1,606;1,299;5,199;381;;;
;;;;;;;;;;;;;;;;;
05382;Rhein-Sieg-Kreis;228,702;120,439;108,263;205,784;22,736;4,542;17,905;51,630;163,453;101,808;61,543;126,885;14,242;;;
;;;;;;;;;;;;;;;;;
053;Reg.-Bez. Köln;1,715,872;923,210;792,662;1,496,566;217,570;28,182;138,868;345,804;1,755,222;1,486,167;268,106;229,649;113,626;;;
;;;;;;;;;;;;;;;;;
05512000;Bottrop, Stadt;41,890;22,843;19,047;38,262;3,581;729;3,387;8,802;33,557;14,630;18,910;27,256;2,234;;;
;;;;;;;;;;;;;;;;;
05513000;Gelsenkirchen, Stadt;85,053;48,472;36,581;71,766;13,157;1,588;7,880;16,581;81,580;36,656;44,899;48,397;4,668;;;
;;;;;;;;;;;;;;;;;
