Nr;Gemeinde;Wohnort;  Männer  ;  Frauen  ; Deutsche ;Ausländer;u. 20 J.;20 - u 25 J.;55 J. u älter;Arbeitsort;"Wohnort
gleich
Arbeitsort";Einpendler;Auspendler;"Zahl 
der 
Betriebe";;;
01051081;Norderwöhrden;90;45;45;*;*;4;12;20;32;6;26;84;9;;;
01051082;Nordhastedt;1,093;607;486;1,056;36;33;104;214;243;83;160;1,010;53;;;
01051083;Odderade;137;73;64;134;3;7;8;31;*;13;*;124;*;;;
01051084;Oesterdeichstrich;113;61;52;87;26;5;11;28;19;*;*;*;8;;;
01051085;Offenbüttel;86;47;39;*;*;5;5;22;45;4;41;82;11;;;
01051086;Osterrade;135;74;61;*;*;7;12;34;33;5;28;130;14;;;
01051087;Ostrohe;340;173;167;332;8;9;26;83;97;12;85;328;14;;;
01051088;Pahlen;435;232;203;432;3;32;40;81;284;45;239;390;32;;;
01051089;Quickborn;78;46;32;*;*;5;8;21;;;;78;;;;
01051090;Ramhusen;61;34;27;*;*;*;9;14;*;*;*;*;*;;;
01051092;Rehm-Flehde-Bargen;198;108;90;191;7;7;21;35;*;21;*;177;*;;;
01051093;Reinsbüttel;173;95;78;170;3;10;14;48;40;10;30;163;9;;;
01051096;Sankt Annen;107;59;48;102;5;;9;22;79;13;66;94;10;;;
01051097;Sankt Michaelisdonn;1,227;718;509;1,198;28;40;139;250;659;201;458;1,026;77;;;
01051098;Sarzbüttel;294;173;121;290;4;15;24;63;138;23;115;271;16;;;
01051099;Schafstedt;516;281;235;513;3;13;40;106;136;41;95;475;26;;;
01051100;Schalkholz;255;146;109;*;*;11;21;64;135;14;121;241;15;;;
01051102;Schlichting;70;40;30;70;;*;9;16;*;5;*;65;*;;;
01051103;Schmedeswurth;59;35;24;59;;*;7;13;15;*;*;*;5;;;
01051104;Schrum;29;14;15;29;;;*;9;*;;*;29;*;;;
01051105;Schülp;168;93;75;153;15;6;8;34;80;33;47;135;18;;;
01051107;Stelle-Wittenwurth;156;78;78;*;*;3;13;31;67;11;56;145;13;;;
01051108;Strübbel;32;15;17;*;*;*;5;4;*;;*;32;*;;;
01051109;Süderdeich;168;90;78;154;14;5;12;39;35;10;25;158;11;;;
01051110;Süderhastedt;280;158;122;*;*;16;30;52;116;29;87;251;29;;;
01051113;Wöhrden;498;268;230;451;47;10;42;104;263;64;199;434;39;;;
01051114;Tellingstedt;972;517;455;947;25;48;95;185;685;194;491;778;87;;;
01051117;Tielenhemme;49;24;25;49;;3;5;13;*;*;*;*;*;;;
01051118;Trennewurth;94;54;40;90;4;4;*;29;16;*;*;*;5;;;
01051119;Volsemenhusen;110;64;46;*;*;3;16;23;60;4;56;106;10;;;
01051120;Wallen;13;7;6;13;;*;*;5;*;*;*;*;*;;;
01051121;Warwerort;74;39;35;*;*;6;3;17;*;;*;74;*;;;
01051122;Weddingstedt;923;476;447;911;12;25;83;208;500;79;421;844;50;;;
01051125;Welmbüttel;165;83;82;154;11;4;18;36;14;*;*;*;9;;;
01051126;Wennbüttel;30;17;13;30;;*;8;7;*;;*;30;*;;;
01051127;Wesselburen, Stadt;1,255;668;587;1,002;253;67;142;228;701;183;518;1,072;80;;;
01051128;Wesselburener Deichhausen;41;20;21;41;;*;6;14;16;*;*;*;5;;;
01051129;Wesselburenerkoog;65;37;28;57;8;*;8;19;64;14;50;51;15;;;
01051130;Wesseln;523;247;276;510;13;11;35;133;533;17;516;506;41;;;
01051131;Westerborstel;37;17;20;*;*;*;;6;*;*;*;*;*;;;
01051132;Westerdeichstrich;267;132;135;257;10;10;20;65;132;38;94;229;31;;;
01051133;Wiemerstedt;61;34;27;61;;4;5;13;7;*;*;*;3;;;
01051134;Windbergen;319;173;146;314;5;15;30;44;62;17;45;302;15;;;
01051135;Wolmersdorf;127;75;52;127;;4;14;37;8;3;5;124;6;;;
01051136;Wrohm;263;146;117;258;5;11;22;56;141;32;109;231;18;;;
01051137;Nordermeldorf;215;119;96;199;16;13;21;42;63;22;40;193;23;;;
01051138;Tensbüttel-Röst;238;123;115;*;*;17;28;50;134;28;106;210;21;;;
01051139;Süderdorf;105;55;50;*;*;*;8;18;30;7;23;98;11;;;
01051140;Oesterwurth;100;53;47;85;15;*;11;15;45;18;27;82;11;;;
01051141;Süderheistedt;219;102;117;*;*;11;16;41;75;13;62;206;15;;;
01051;Dithmarschen;48,664;26,781;21,883;46,158;2,491;1,710;4,608;10,360;42,518;35,673;6,825;12,991;3,876;;;
01053001;Albsfelde;23;14;9;23;;;*;7;*;;*;23;*;;;
01053002;Alt Mölln;293;139;154;281;12;17;18;72;303;9;294;284;34;;;
01053003;Aumühle;974;500;474;884;89;13;42;251;682;87;594;887;101;;;
01053004;Bäk;294;137;157;*;*;10;15;74;64;12;52;282;12;;;
01053005;Bälau;81;43;38;78;3;4;4;15;*;4;*;77;*;;;
01053006;Basedow;201;118;83;195;6;4;14;65;15;5;10;196;9;;;
01053007;Basthorst;160;79;81;153;7;3;9;34;56;13;43;147;8;;;
01053008;Behlendorf;149;78;71;*;*;*;14;24;16;4;12;145;6;;;
01053009;Berkenthin;851;444;407;837;14;22;79;186;437;117;320;734;57;;;
01053010;Besenthal;29;16;13;29;;*;*;*;*;3;*;26;3;;;
01053011;Bliestorf;256;124;132;250;6;4;23;62;246;73;173;183;14;;;
01053012;Börnsen;1,869;966;903;1,730;138;47;115;389;703;89;614;1,780;91;;;
01053013;Borstorf;123;63;60;*;*;4;13;34;7;*;*;*;4;;;
01053014;Breitenfelde;711;380;331;681;30;23;47;157;365;84;281;627;57;;;
01053015;Bröthen;147;81;66;142;5;6;9;27;*;5;*;142;*;;;
01053016;Brunsmark;69;36;33;65;4;;8;14;3;*;*;*;3;;;
01053017;Brunstorf;330;184;146;318;12;8;19;51;117;11;104;319;18;;;
01053018;Buchholz;79;38;41;*;*;*;3;26;18;10;8;69;8;;;
01053019;Buchhorst;53;21;32;50;3;*;*;15;41;4;37;49;13;;;
01053020;Büchen;2,387;1,303;1,084;2,236;150;58;228;522;2,484;596;1,888;1,790;168;;;
01053021;Dahmker;57;27;30;57;;*;4;13;*;7;*;50;*;;;
01053022;Dalldorf;129;75;54;*;*;5;9;36;*;*;*;*;*;;;
01053023;Dassendorf;1,267;664;603;1,200;67;28;88;294;679;88;589;1,179;75;;;
01053024;Düchelsdorf;75;36;39;72;3;*;4;12;*;*;*;*;*;;;
01053025;Duvensee;224;110;114;218;6;8;16;49;85;18;67;206;19;;;
01053026;Einhaus;130;64;66;*;*;3;5;34;*;3;*;127;*;;;
01053027;Elmenhorst;381;205;176;354;27;8;42;73;481;26;455;355;41;;;
01053028;Escheburg;1,565;831;734;1,476;89;18;77;351;282;51;231;1,514;45;;;
01053029;Fitzen;151;82;69;141;10;6;6;37;8;5;3;146;6;;;
01053030;Fredeburg;16;10;6;13;3;*;3;*;*;7;*;9;*;;;
01053031;Fuhlenhagen;177;92;85;154;23;5;10;24;64;22;42;155;12;;;
01053032;Geesthacht, Stadt;12,730;6,935;5,795;11,271;1,444;254;996;2,785;10,477;3,803;6,671;8,927;734;;;
01053033;Giesensdorf;53;26;27;48;5;*;;18;;;;53;;;;
01053034;Göldenitz;80;39;41;80;;*;7;10;49;5;44;75;9;;;
01053035;Göttin;27;15;12;27;;*;;6;;;;27;;;;
01053036;Grabau;131;63;68;*;*;*;10;24;23;*;*;*;6;;;
01053037;Grambek;154;76;78;150;4;8;13;43;225;9;216;145;14;;;
01053038;Grinau;71;40;31;67;4;4;*;16;*;5;*;66;*;;;
01053039;Groß Boden;77;39;38;74;3;;4;17;*;3;*;74;*;;;
01053040;Groß Disnack;39;19;20;39;;;*;11;*;*;*;*;*;;;
01053041;Groß Grönau;1,272;608;664;1,230;41;19;69;273;638;67;571;1,205;64;;;
01053042;Groß Pampau;74;37;37;*;*;3;3;17;*;8;*;66;*;;;
01053043;Groß Sarau;361;181;180;341;18;10;15;65;88;9;79;352;23;;;
01053044;Groß Schenkenberg;238;125;113;238;;6;12;58;72;11;61;227;13;;;
01053045;Grove;94;44;50;*;*;*;3;25;*;3;*;91;*;;;
01053046;Gudow;764;441;323;688;76;25;50;151;232;62;170;702;41;;;
01053047;Gülzow;566;297;269;549;17;13;44;104;82;24;58;542;17;;;
01053048;Güster;555;290;265;521;33;16;31;147;191;41;150;514;33;;;
01053049;Hamfelde;198;93;105;192;6;*;12;46;23;4;19;194;7;;;
01053050;Hamwarde;384;204;180;370;14;12;22;81;55;14;41;370;12;;;
01053051;Harmsdorf;131;67;64;*;*;4;7;29;61;4;57;127;10;;;
01053052;Havekost;95;42;53;91;4;;7;10;10;7;3;88;9;;;
01053053;Hohenhorn;213;118;95;196;17;4;10;33;78;14;64;199;13;;;
01053054;Hollenbek;179;103;76;*;*;10;15;36;11;4;7;175;5;;;
01053056;Hornbek;67;37;30;*;*;*;3;22;*;*;*;*;*;;;
01053057;Horst;103;51;52;100;3;3;5;27;13;5;8;98;6;;;
01053058;Juliusburg;48;20;28;48;;*;3;14;*;*;*;*;*;;;
01053059;Kankelau;90;49;41;87;3;*;3;27;34;3;31;87;4;;;
01053060;Kasseburg;238;125;113;233;5;*;18;47;18;5;13;233;9;;;
01053061;Kastorf;527;273;254;503;24;13;48;106;417;51;366;476;39;;;
01053062;Kittlitz;100;55;45;96;4;3;5;26;13;5;8;95;8;;;
01053064;Klein Pampau;282;144;138;278;4;7;22;58;35;4;31;278;9;;;
01053066;Klein Zecher;94;44;50;94;;5;3;20;9;6;3;88;6;;;
01053067;Klempau;267;149;118;259;8;10;21;55;53;15;38;252;12;;;
01053068;Klinkrade;285;132;153;278;6;5;15;62;8;3;5;282;5;;;
01053069;Koberg;358;188;170;347;11;7;27;68;45;18;27;340;14;;;
01053070;Köthel;125;59;66;119;6;4;13;31;80;16;64;109;10;;;
01053071;Kollow;255;133;122;250;5;4;27;68;52;5;47;250;9;;;
01053072;Kröppelshagen-Fahrendorf;497;259;238;473;24;4;21;118;98;27;71;470;25;;;
01053073;Krüzen;115;57;58;*;*;5;11;25;32;6;26;109;9;;;
01053074;Krukow;49;24;25;*;*;*;*;15;17;3;14;46;5;;;
01053075;Krummesse;994;478;516;977;17;26;51;236;245;67;178;927;45;;;
01053076;Kuddewörde;500;254;246;472;28;14;33;110;183;29;154;471;32;;;
01053077;Kühsen;146;74;72;141;5;;6;37;13;4;9;142;6;;;
01053078;Kulpin;79;41;38;79;;3;5;29;19;3;16;76;4;;;
01053079;Labenz;378;191;187;374;4;15;32;75;47;12;35;366;16;;;
01053080;Langenlehsten;62;35;27;62;;*;10;16;;;;62;;;;
01053081;Lankau;160;91;69;160;;6;11;36;23;7;16;153;8;;;
01053082;Lanze;97;49;48;93;4;*;5;19;22;3;19;94;4;;;
01053083;Lauenburg/ Elbe, Stadt;3,339;1,881;1,458;2,974;362;98;299;837;3,086;930;2,153;2,409;257;;;
01053084;Lehmrade;179;85;94;175;4;7;12;39;79;5;74;174;13;;;
01053085;Linau;578;303;275;561;16;13;37;129;134;22;112;556;25;;;
01053086;Lüchow;116;60;56;*;*;*;7;25;13;*;*;*;6;;;
01053087;Lütau;198;103;95;*;*;11;13;45;126;20;106;178;25;;;
01053088;Mechow;54;27;27;54;;;3;13;9;*;*;*;4;;;
01053089;Möhnsen;260;143;117;252;8;9;23;53;222;16;206;244;18;;;
01053090;Mölln, Stadt;5,949;3,119;2,830;5,484;463;160;411;1,475;6,537;2,442;4,092;3,507;502;;;
01053091;Mühlenrade;75;38;37;75;;3;3;18;*;*;*;*;*;;;
01053092;Müssen;472;250;222;453;19;9;33;87;142;27;115;445;28;;;
01053093;Mustin;271;135;136;263;8;4;16;64;79;13;66;258;20;;;
01053094;Niendorf bei Berkenthin;79;38;41;*;*;;*;19;*;*;*;*;*;;;
01053095;Niendorf/ Stecknitz;254;131;123;249;5;14;21;61;18;4;14;250;8;;;
01053096;Nusse;483;233;250;460;23;19;31;98;274;48;226;435;52;;;
01053097;Panten;277;143;134;267;10;4;17;71;48;14;34;263;16;;;
01053098;Pogeez;198;93;105;*;*;8;13;49;122;14;107;184;18;;;
01053099;Poggensee;144;78;66;144;;4;12;28;*;*;*;*;*;;;
01053100;Ratzeburg, Stadt;5,126;2,536;2,590;4,867;256;115;412;1,095;5,807;1,707;4,097;3,419;402;;;
01053101;Ritzerau;143;75;68;143;;4;18;31;*;*;*;*;*;;;
01053102;Römnitz;23;14;9;23;;;;7;*;4;*;19;*;;;
01053103;Rondeshagen;312;152;160;303;9;6;23;70;78;16;62;296;18;;;
01053104;Roseburg;212;106;106;206;6;7;9;52;49;8;41;204;17;;;
01053106;Sahms;180;91;89;174;6;4;7;31;*;3;*;177;*;;;
01053107;Salem;222;109;113;216;6;3;16;52;45;12;33;210;13;;;
01053108;Sandesneben;752;389;363;733;19;25;52;171;512;93;419;659;59;;;
01053109;Schiphorst;274;141;133;269;5;8;17;53;21;8;13;266;10;;;
01053110;Schmilau;258;137;121;218;40;5;23;62;477;43;432;215;23;;;
01053111;Schnakenbek;292;149;143;273;19;5;12;77;37;11;26;281;13;;;
01053112;Schönberg;615;323;292;591;24;17;38;117;150;40;110;575;25;;;
01053113;Schretstaken;181;102;79;178;3;5;13;46;47;9;38;172;11;;;
01053114;Schürensöhlen;58;30;28;58;;;3;20;5;*;*;*;3;;;
01053115;Schulendorf;176;92;84;169;7;7;10;36;28;12;16;164;12;;;
01053116;Schwarzenbek, Stadt;6,675;3,670;3,005;6,042;625;151;565;1,299;5,445;1,450;3,994;5,224;395;;;
01053117;Seedorf;186;87;99;179;7;4;12;52;86;22;64;164;21;;;
01053118;Siebenbäumen;246;129;117;242;4;7;28;44;*;5;*;241;*;;;
01053119;Siebeneichen;104;55;49;100;3;4;8;22;70;7;63;97;9;;;
01053120;Sierksrade;167;95;72;153;14;3;10;33;7;4;3;163;5;;;
01053121;Sirksfelde;130;67;63;127;3;4;5;23;*;*;*;*;*;;;
01053122;Steinhorst;247;132;115;244;3;6;13;51;*;*;*;*;*;;;
01053123;Sterley;385;197;188;381;4;12;22;105;181;47;134;338;29;;;
01053124;Stubben;165;85;80;160;5;*;12;47;41;9;32;156;12;;;
01053125;Talkau;189;107;82;*;*;7;16;45;36;*;*;*;9;;;
01053126;Tramm;151;79;72;146;5;7;13;26;38;6;32;145;11;;;
01053127;Walksfelde;72;38;34;69;3;*;3;10;;;;72;;;;
01053128;Wangelau;59;32;27;*;*;4;6;23;11;6;5;53;4;;;
01053129;Wentorf bei Hamburg;5,218;2,635;2,583;4,835;380;115;304;1,133;2,531;495;2,036;4,723;345;;;
01053130;Wentorf (Amt Sandesneben);318;172;146;311;7;11;21;73;52;9;43;309;15;;;
01053131;Wiershop;84;40;44;*;*;6;3;16;*;7;*;77;*;;;
01053132;Witzeeze;346;170;176;341;5;10;29;62;103;13;90;333;15;;;
01053133;Wohltorf;741;384;357;693;47;10;37;205;191;31;160;710;51;;;
01053134;Woltersdorf;106;60;46;101;5;4;6;25;71;5;66;101;13;;;
01053135;Worth;71;36;35;68;3;;3;12;*;7;*;64;*;;;
01053136;Ziethen;418;206;212;411;7;16;26;98;111;15;96;403;17;;;
01053;Herzogtum Lauenburg;75,481;39,656;35,825;70,402;5,034;1,813;5,410;16,740;48,811;29,998;18,792;45,481;4,762;;;
01054001;Achtrup;552;284;268;545;7;19;48;132;173;48;125;504;45;;;
01054002;Ahrenshöft;191;96;95;186;5;4;13;43;169;11;158;180;13;;;
01054003;Ahrenviöl;206;110;96;200;6;8;19;32;76;19;57;187;19;;;
01054004;Ahrenviölfeld;64;34;30;61;3;;*;17;*;;*;64;*;;;
01054005;Alkersum;162;81;81;153;9;3;22;42;162;24;138;138;21;;;
01054006;Almdorf;209;106;103;206;3;8;19;41;11;4;7;205;5;;;
01054007;Arlewatt;126;71;55;126;;8;20;28;*;8;*;118;*;;;
01054009;Aventoft;150;77;73;142;8;4;12;39;114;21;93;129;14;;;
01054010;Bargum;222;114;108;222;;8;20;47;42;6;36;216;10;;;
01054011;Behrendorf;219;116;103;*;*;11;17;39;129;39;90;180;18;;;
01054012;Bohmstedt;281;147;134;277;4;8;16;74;126;19;107;262;20;;;
01054013;Bondelum;64;34;30;*;*;*;10;15;*;6;*;58;*;;;
01054014;Bordelum;753;390;363;733;20;32;60;158;419;99;320;654;40;;;
01054015;Borgsum;144;71;73;137;7;9;11;36;39;10;29;134;14;;;
01054016;Bosbüll;91;47;44;84;7;3;7;21;*;3;*;88;3;;;
01054017;Braderup;239;120;119;236;3;9;17;48;94;17;77;222;20;;;
01054018;Bramstedtlund;76;43;33;*;*;4;9;20;37;8;29;68;7;;;
01054019;Bredstedt, Stadt;1,713;895;818;1,623;90;51;170;377;1,642;438;1,204;1,275;190;;;
01054020;Breklum;847;414;433;828;19;30;87;206;1,618;142;1,476;705;71;;;
01054022;Dagebüll;319;155;164;295;24;9;34;79;263;74;189;244;47;;;
01054023;Drage;218;114;104;215;3;5;28;51;97;16;81;202;19;;;
01054024;Drelsdorf;492;255;237;489;3;17;36;103;183;46;137;446;31;;;
01054025;Dunsum;23;12;11;23;;*;*;5;3;*;*;*;3;;;
01054026;Elisabeth-Sophien-Koog;17;8;9;14;3;;*;*;*;5;*;12;*;;;
01054027;Ellhöft;41;24;17;41;;*;4;8;12;*;*;*;7;;;
01054032;Fresendelf;32;21;11;32;;4;3;7;;;;32;;;;
01054033;Friedrichstadt, Stadt;767;381;386;722;45;27;67;169;781;214;567;553;94;;;
01054034;Friedrich-Wilhelm-Lübke-Koog;64;36;28;*;*;*;7;17;39;9;30;55;12;;;
01054035;Garding, Kirchspiel;47;25;22;39;8;5;*;8;54;3;51;44;11;;;
01054036;Garding, Stadt;1,083;517;566;998;84;36;98;268;737;231;506;852;106;;;
01054037;Goldebek;122;68;54;*;*;3;11;26;*;3;*;119;*;;;
01054038;Goldelund;161;85;76;161;;8;25;30;31;9;22;152;13;;;
01054039;Gröde;*;3;;3;;;;3;;;;3;;;;
01054040;Grothusenkoog;8;*;*;*;*;;*;;*;*;*;*;*;;;
01054041;Haselund;392;203;189;389;3;22;28;68;346;71;275;321;27;;;
01054042;Hattstedt;941;459;482;928;13;29;81;189;286;83;203;857;58;;;
01054043;Hattstedtermarsch;99;53;46;92;7;3;7;30;52;4;48;95;8;;;
01054045;Högel;145;88;57;142;3;8;11;25;23;12;11;133;10;;;
01054046;Hörnum (Sylt);463;240;223;413;50;11;61;89;373;217;156;246;41;;;
01054048;Holm;45;23;22;*;*;5;5;6;*;;*;45;*;;;
01054050;Hallig Hooge;35;17;18;27;8;;*;10;40;27;13;8;17;;;
01054052;Horstedt;337;181;156;334;3;13;32;57;108;16;92;321;17;;;
01054054;Hude;59;36;23;59;;3;3;18;*;3;*;56;*;;;
01054055;Humptrup;265;133;132;261;4;12;21;66;45;10;35;255;16;;;
01054056;Husum, Stadt;7,946;4,022;3,924;7,423;518;210;741;1,822;16,200;4,702;11,493;3,244;871;;;
01054057;Immenstedt;278;162;116;241;37;11;33;47;33;15;18;263;13;;;
01054059;Joldelund;262;137;125;258;4;16;27;46;71;23;48;239;13;;;
01054061;Kampen (Sylt);176;96;80;152;24;4;9;32;570;74;496;102;79;;;
01054062;Karlum;83;38;45;*;*;3;7;23;12;*;*;*;6;;;
01054063;Katharinenheerd;74;37;37;71;3;4;4;14;*;;*;74;*;;;
01054065;Klanxbüll;433;218;215;397;36;12;32;108;117;23;94;410;15;;;
01054068;Klixbüll;370;200;170;353;17;9;33;81;78;26;52;344;15;;;
01054070;Koldenbüttel;371;194;177;356;15;16;35;83;27;12;15;359;10;;;
01054071;Kolkerheide;24;13;11;*;*;;*;4;*;3;*;21;3;;;
01054072;Kotzenbüll;71;38;33;*;*;3;12;15;*;6;*;65;*;;;
01054073;Ladelund;469;238;231;462;7;12;44;113;154;52;102;417;36;;;
01054074;Langeneß;44;24;20;38;6;3;*;7;26;18;8;26;6;;;
01054075;Langenhorn;1,228;663;565;1,209;19;45;132;234;799;232;567;996;109;;;
01054076;Leck;2,664;1,348;1,316;2,556;108;76;238;629;2,039;786;1,253;1,878;186;;;
01054077;Lexgaard;24;16;8;24;;*;*;3;*;*;*;*;*;;;
01054078;List auf Sylt;799;407;392;601;198;21;87;147;807;443;364;356;96;;;
01054079;Löwenstedt;289;155;134;285;4;17;30;46;94;27;67;262;20;;;
01054080;Lütjenholm;121;66;55;*;*;4;7;23;11;4;7;117;8;;;
01054083;Midlum;181;87;94;172;9;7;10;32;87;24;63;157;11;;;
01054084;Mildstedt;1,458;702;756;1,422;36;47;128;330;706;141;565;1,317;62;;;
01054085;Nebel;412;175;237;382;30;9;27;96;435;241;194;171;89;;;
01054086;Neukirchen;450;246;204;432;18;16;32;125;217;71;146;379;48;;;
01054087;Nieblum;208;101;107;180;28;8;28;42;187;49;138;159;48;;;
01054088;Niebüll, Stadt;4,047;2,064;1,983;3,692;354;125;357;841;4,512;1,300;3,210;2,745;389;;;
01054089;Norddorf auf Amrum;288;128;160;239;49;9;35;60;391;204;186;84;63;;;
01054090;Norderfriedrichskoog;18;11;7;15;3;;;4;66;9;57;9;18;;;
01054091;Nordstrand;693;374;319;648;41;36;58;195;277;167;110;526;67;;;
01054092;Norstedt;164;90;74;161;3;5;13;39;*;3;*;161;4;;;
01054093;Ockholm;84;49;35;*;*;*;4;25;52;7;45;77;10;;;
01054094;Oevenum;211;104;107;201;10;8;28;43;184;31;153;180;18;;;
01054095;Oldenswort;467;247;220;460;7;16;31;114;152;48;104;419;41;;;
