,Meldedatum,Bundesland,Geschlecht,Altersgruppe,AnzahlFall,AnzahlTodesfall,TotalAnzahl_BL_G_AG,TotalDeath_BL_G_AG
737,2020-03-13T00:00:00.000Z,Bremen,M,A60-A79,1,0,8,0
1186,2020-03-17T00:00:00.000Z,Bremen,M,A60-A79,1,0,9,0
1494,2020-03-19T00:00:00.000Z,Bremen,M,A60-A79,6,0,15,0
1633,2020-03-20T00:00:00.000Z,Bremen,M,A60-A79,2,0,17,0
1187,2020-03-17T00:00:00.000Z,Bremen,M,A80+,1,0,1,0
95,2020-03-02T00:00:00.000Z,Sachsen,M,A60-A79,1,0,1,0
278,2020-03-07T00:00:00.000Z,Sachsen,M,A60-A79,1,0,2,0
465,2020-03-10T00:00:00.000Z,Sachsen,M,A60-A79,2,0,4,0
570,2020-03-11T00:00:00.000Z,Sachsen,M,A60-A79,2,0,6,0
672,2020-03-12T00:00:00.000Z,Sachsen,M,A60-A79,6,0,12,0
790,2020-03-13T00:00:00.000Z,Sachsen,M,A60-A79,4,0,16,0
1003,2020-03-15T00:00:00.000Z,Sachsen,M,A60-A79,3,0,19,0
1122,2020-03-16T00:00:00.000Z,Sachsen,M,A60-A79,3,0,22,0
1262,2020-03-17T00:00:00.000Z,Sachsen,M,A60-A79,10,0,32,0
1414,2020-03-18T00:00:00.000Z,Sachsen,M,A60-A79,12,0,44,0
1561,2020-03-19T00:00:00.000Z,Sachsen,M,A60-A79,7,0,51,0
1675,2020-03-20T00:00:00.000Z,Sachsen,M,A60-A79,8,0,59,0
240,2020-03-06T00:00:00.000Z,Sachsen,M,A35-A59,1,0,1,0
317,2020-03-08T00:00:00.000Z,Sachsen,M,A35-A59,3,0,4,0
386,2020-03-09T00:00:00.000Z,Sachsen,M,A35-A59,1,0,5,0
464,2020-03-10T00:00:00.000Z,Sachsen,M,A35-A59,5,0,10,0
569,2020-03-11T00:00:00.000Z,Sachsen,M,A35-A59,3,0,13,0
671,2020-03-12T00:00:00.000Z,Sachsen,M,A35-A59,10,0,23,0
789,2020-03-13T00:00:00.000Z,Sachsen,M,A35-A59,11,0,34,0
898,2020-03-14T00:00:00.000Z,Sachsen,M,A35-A59,13,0,47,0
1002,2020-03-15T00:00:00.000Z,Sachsen,M,A35-A59,9,0,56,0
1121,2020-03-16T00:00:00.000Z,Sachsen,M,A35-A59,17,0,73,0
1261,2020-03-17T00:00:00.000Z,Sachsen,M,A35-A59,25,0,98,0
1413,2020-03-18T00:00:00.000Z,Sachsen,M,A35-A59,33,0,131,0
1560,2020-03-19T00:00:00.000Z,Sachsen,M,A35-A59,35,0,166,0
1674,2020-03-20T00:00:00.000Z,Sachsen,M,A35-A59,11,0,177,0
385,2020-03-09T00:00:00.000Z,Sachsen,M,A15-A34,2,0,2,0
463,2020-03-10T00:00:00.000Z,Sachsen,M,A15-A34,5,0,7,0
568,2020-03-11T00:00:00.000Z,Sachsen,M,A15-A34,1,0,8,0
670,2020-03-12T00:00:00.000Z,Sachsen,M,A15-A34,4,0,12,0
788,2020-03-13T00:00:00.000Z,Sachsen,M,A15-A34,3,0,15,0
897,2020-03-14T00:00:00.000Z,Sachsen,M,A15-A34,1,0,16,0
1001,2020-03-15T00:00:00.000Z,Sachsen,M,A15-A34,3,0,19,0
1120,2020-03-16T00:00:00.000Z,Sachsen,M,A15-A34,7,0,26,0
1260,2020-03-17T00:00:00.000Z,Sachsen,M,A15-A34,7,0,33,0
1412,2020-03-18T00:00:00.000Z,Sachsen,M,A15-A34,20,0,53,0
1559,2020-03-19T00:00:00.000Z,Sachsen,M,A15-A34,17,0,70,0
1673,2020-03-20T00:00:00.000Z,Sachsen,M,A15-A34,9,0,79,0
669,2020-03-12T00:00:00.000Z,Sachsen,M,A05-A14,1,0,1,0
1259,2020-03-17T00:00:00.000Z,Sachsen,M,A05-A14,3,0,4,0
1411,2020-03-18T00:00:00.000Z,Sachsen,M,A05-A14,1,0,5,0
1558,2020-03-19T00:00:00.000Z,Sachsen,M,A05-A14,1,0,6,0
787,2020-03-13T00:00:00.000Z,Sachsen,M,A00-A04,1,0,1,0
1000,2020-03-15T00:00:00.000Z,Sachsen,M,A00-A04,1,0,2,0
1410,2020-03-18T00:00:00.000Z,Sachsen,M,A00-A04,1,0,3,0
1557,2020-03-19T00:00:00.000Z,Sachsen,M,A00-A04,2,0,5,0
899,2020-03-14T00:00:00.000Z,Sachsen,M,A80+,1,0,1,0
1263,2020-03-17T00:00:00.000Z,Sachsen,M,A80+,1,0,2,0
241,2020-03-06T00:00:00.000Z,Sachsen,W,A60-A79,1,0,1,0
279,2020-03-07T00:00:00.000Z,Sachsen,W,A60-A79,1,0,2,0
387,2020-03-09T00:00:00.000Z,Sachsen,W,A60-A79,1,0,3,0
573,2020-03-11T00:00:00.000Z,Sachsen,W,A60-A79,2,0,5,0
675,2020-03-12T00:00:00.000Z,Sachsen,W,A60-A79,1,0,6,0
793,2020-03-13T00:00:00.000Z,Sachsen,W,A60-A79,2,0,8,0
1006,2020-03-15T00:00:00.000Z,Sachsen,W,A60-A79,2,0,10,0
1125,2020-03-16T00:00:00.000Z,Sachsen,W,A60-A79,3,0,13,0
1266,2020-03-17T00:00:00.000Z,Sachsen,W,A60-A79,6,0,19,0
1418,2020-03-18T00:00:00.000Z,Sachsen,W,A60-A79,5,0,24,0
1564,2020-03-19T00:00:00.000Z,Sachsen,W,A60-A79,13,0,37,0
1678,2020-03-20T00:00:00.000Z,Sachsen,W,A60-A79,5,0,42,0
318,2020-03-08T00:00:00.000Z,Sachsen,W,A35-A59,2,0,2,0
468,2020-03-10T00:00:00.000Z,Sachsen,W,A35-A59,4,0,6,0
572,2020-03-11T00:00:00.000Z,Sachsen,W,A35-A59,3,0,9,0
674,2020-03-12T00:00:00.000Z,Sachsen,W,A35-A59,3,0,12,0
792,2020-03-13T00:00:00.000Z,Sachsen,W,A35-A59,9,0,21,0
902,2020-03-14T00:00:00.000Z,Sachsen,W,A35-A59,10,0,31,0
1005,2020-03-15T00:00:00.000Z,Sachsen,W,A35-A59,6,0,37,0
1124,2020-03-16T00:00:00.000Z,Sachsen,W,A35-A59,7,0,44,0
1265,2020-03-17T00:00:00.000Z,Sachsen,W,A35-A59,17,0,61,0
1417,2020-03-18T00:00:00.000Z,Sachsen,W,A35-A59,25,0,86,0
1563,2020-03-19T00:00:00.000Z,Sachsen,W,A35-A59,36,0,122,0
1677,2020-03-20T00:00:00.000Z,Sachsen,W,A35-A59,5,0,127,0
466,2020-03-10T00:00:00.000Z,Sachsen,W,A05-A14,1,0,1,0
900,2020-03-14T00:00:00.000Z,Sachsen,W,A05-A14,1,0,2,0
467,2020-03-10T00:00:00.000Z,Sachsen,W,A15-A34,3,0,3,0
571,2020-03-11T00:00:00.000Z,Sachsen,W,A15-A34,2,0,5,0
673,2020-03-12T00:00:00.000Z,Sachsen,W,A15-A34,2,0,7,0
791,2020-03-13T00:00:00.000Z,Sachsen,W,A15-A34,2,0,9,0
901,2020-03-14T00:00:00.000Z,Sachsen,W,A15-A34,2,0,11,0
1004,2020-03-15T00:00:00.000Z,Sachsen,W,A15-A34,1,0,12,0
1123,2020-03-16T00:00:00.000Z,Sachsen,W,A15-A34,3,0,15,0
1264,2020-03-17T00:00:00.000Z,Sachsen,W,A15-A34,10,0,25,0
1416,2020-03-18T00:00:00.000Z,Sachsen,W,A15-A34,12,0,37,0
1562,2020-03-19T00:00:00.000Z,Sachsen,W,A15-A34,21,0,58,0
1676,2020-03-20T00:00:00.000Z,Sachsen,W,A15-A34,4,0,62,0
903,2020-03-14T00:00:00.000Z,Sachsen,W,A80+,1,0,1,0
1267,2020-03-17T00:00:00.000Z,Sachsen,W,A80+,1,0,2,0
1419,2020-03-18T00:00:00.000Z,Sachsen,W,A80+,1,0,3,0
1565,2020-03-19T00:00:00.000Z,Sachsen,W,A80+,2,0,5,0
1415,2020-03-18T00:00:00.000Z,Sachsen,W,A00-A04,1,0,1,0
106,2020-03-03T00:00:00.000Z,Berlin,M,A15-A34,1,0,1,0
140,2020-03-04T00:00:00.000Z,Berlin,M,A15-A34,1,0,2,0
293,2020-03-08T00:00:00.000Z,Berlin,M,A15-A34,4,0,6,0
340,2020-03-09T00:00:00.000Z,Berlin,M,A15-A34,5,0,11,0
413,2020-03-10T00:00:00.000Z,Berlin,M,A15-A34,10,0,21,0
505,2020-03-11T00:00:00.000Z,Berlin,M,A15-A34,11,0,32,0
608,2020-03-12T00:00:00.000Z,Berlin,M,A15-A34,8,0,40,0
722,2020-03-13T00:00:00.000Z,Berlin,M,A15-A34,15,0,55,0
836,2020-03-14T00:00:00.000Z,Berlin,M,A15-A34,6,0,61,0
936,2020-03-15T00:00:00.000Z,Berlin,M,A15-A34,5,0,66,0
1041,2020-03-16T00:00:00.000Z,Berlin,M,A15-A34,9,0,75,0
1170,2020-03-17T00:00:00.000Z,Berlin,M,A15-A34,20,0,95,0
1321,2020-03-18T00:00:00.000Z,Berlin,M,A15-A34,24,0,119,0
1476,2020-03-19T00:00:00.000Z,Berlin,M,A15-A34,28,0,147,0
1619,2020-03-20T00:00:00.000Z,Berlin,M,A15-A34,18,0,165,0
107,2020-03-03T00:00:00.000Z,Berlin,M,A35-A59,2,0,2,0
176,2020-03-05T00:00:00.000Z,Berlin,M,A35-A59,4,0,6,0
222,2020-03-06T00:00:00.000Z,Berlin,M,A35-A59,1,0,7,0
258,2020-03-07T00:00:00.000Z,Berlin,M,A35-A59,1,0,8,0
294,2020-03-08T00:00:00.000Z,Berlin,M,A35-A59,1,0,9,0
341,2020-03-09T00:00:00.000Z,Berlin,M,A35-A59,8,0,17,0
414,2020-03-10T00:00:00.000Z,Berlin,M,A35-A59,4,0,21,0
506,2020-03-11T00:00:00.000Z,Berlin,M,A35-A59,11,0,32,0
609,2020-03-12T00:00:00.000Z,Berlin,M,A35-A59,12,0,44,0
723,2020-03-13T00:00:00.000Z,Berlin,M,A35-A59,20,0,64,0
837,2020-03-14T00:00:00.000Z,Berlin,M,A35-A59,10,0,74,0
937,2020-03-15T00:00:00.000Z,Berlin,M,A35-A59,6,0,80,0
1042,2020-03-16T00:00:00.000Z,Berlin,M,A35-A59,22,0,102,0
1171,2020-03-17T00:00:00.000Z,Berlin,M,A35-A59,22,0,124,0
1322,2020-03-18T00:00:00.000Z,Berlin,M,A35-A59,49,0,173,0
1477,2020-03-19T00:00:00.000Z,Berlin,M,A35-A59,58,0,231,0
1620,2020-03-20T00:00:00.000Z,Berlin,M,A35-A59,21,0,252,0
108,2020-03-03T00:00:00.000Z,Berlin,M,A60-A79,1,0,1,0
507,2020-03-11T00:00:00.000Z,Berlin,M,A60-A79,4,0,5,0
610,2020-03-12T00:00:00.000Z,Berlin,M,A60-A79,3,0,8,0
838,2020-03-14T00:00:00.000Z,Berlin,M,A60-A79,3,0,11,0
938,2020-03-15T00:00:00.000Z,Berlin,M,A60-A79,2,0,13,0
1043,2020-03-16T00:00:00.000Z,Berlin,M,A60-A79,3,0,16,0
1172,2020-03-17T00:00:00.000Z,Berlin,M,A60-A79,3,0,19,0
1323,2020-03-18T00:00:00.000Z,Berlin,M,A60-A79,6,0,25,0
1478,2020-03-19T00:00:00.000Z,Berlin,M,A60-A79,14,0,39,0
1621,2020-03-20T00:00:00.000Z,Berlin,M,A60-A79,4,0,43,0
175,2020-03-05T00:00:00.000Z,Berlin,M,A00-A04,1,0,1,0
503,2020-03-11T00:00:00.000Z,Berlin,M,A00-A04,2,0,3,0
607,2020-03-12T00:00:00.000Z,Berlin,M,A00-A04,1,0,4,0
835,2020-03-14T00:00:00.000Z,Berlin,M,A00-A04,2,0,6,0
1319,2020-03-18T00:00:00.000Z,Berlin,M,A00-A04,3,0,9,0
504,2020-03-11T00:00:00.000Z,Berlin,M,A05-A14,1,0,1,0
721,2020-03-13T00:00:00.000Z,Berlin,M,A05-A14,1,0,2,0
1169,2020-03-17T00:00:00.000Z,Berlin,M,A05-A14,4,0,6,0
1320,2020-03-18T00:00:00.000Z,Berlin,M,A05-A14,1,0,7,0
1475,2020-03-19T00:00:00.000Z,Berlin,M,A05-A14,2,0,9,0
1618,2020-03-20T00:00:00.000Z,Berlin,M,A05-A14,5,0,14,0
1044,2020-03-16T00:00:00.000Z,Berlin,M,unbekannt,1,0,1,0
1325,2020-03-18T00:00:00.000Z,Berlin,M,unbekannt,1,0,2,0
1480,2020-03-19T00:00:00.000Z,Berlin,M,unbekannt,2,0,4,0
1173,2020-03-17T00:00:00.000Z,Berlin,M,A80+,1,0,1,0
1324,2020-03-18T00:00:00.000Z,Berlin,M,A80+,1,0,2,0
1479,2020-03-19T00:00:00.000Z,Berlin,M,A80+,2,1,4,1
109,2020-03-03T00:00:00.000Z,Berlin,W,A15-A34,1,0,1,0
141,2020-03-04T00:00:00.000Z,Berlin,W,A15-A34,2,0,3,0
178,2020-03-05T00:00:00.000Z,Berlin,W,A15-A34,2,0,5,0
295,2020-03-08T00:00:00.000Z,Berlin,W,A15-A34,5,0,10,0
342,2020-03-09T00:00:00.000Z,Berlin,W,A15-A34,6,0,16,0
415,2020-03-10T00:00:00.000Z,Berlin,W,A15-A34,9,0,25,0
509,2020-03-11T00:00:00.000Z,Berlin,W,A15-A34,8,0,33,0
611,2020-03-12T00:00:00.000Z,Berlin,W,A15-A34,9,0,42,0
725,2020-03-13T00:00:00.000Z,Berlin,W,A15-A34,10,0,52,0
839,2020-03-14T00:00:00.000Z,Berlin,W,A15-A34,1,0,53,0
939,2020-03-15T00:00:00.000Z,Berlin,W,A15-A34,2,0,55,0
1046,2020-03-16T00:00:00.000Z,Berlin,W,A15-A34,9,0,64,0
1175,2020-03-17T00:00:00.000Z,Berlin,W,A15-A34,16,0,80,0
1327,2020-03-18T00:00:00.000Z,Berlin,W,A15-A34,20,0,100,0
1482,2020-03-19T00:00:00.000Z,Berlin,W,A15-A34,34,0,134,0
1623,2020-03-20T00:00:00.000Z,Berlin,W,A15-A34,17,0,151,0
177,2020-03-05T00:00:00.000Z,Berlin,W,A05-A14,1,0,1,0
724,2020-03-13T00:00:00.000Z,Berlin,W,A05-A14,1,0,2,0
1045,2020-03-16T00:00:00.000Z,Berlin,W,A05-A14,1,0,3,0
1174,2020-03-17T00:00:00.000Z,Berlin,W,A05-A14,2,0,5,0
1326,2020-03-18T00:00:00.000Z,Berlin,W,A05-A14,3,0,8,0
1481,2020-03-19T00:00:00.000Z,Berlin,W,A05-A14,3,0,11,0
1622,2020-03-20T00:00:00.000Z,Berlin,W,A05-A14,4,0,15,0
179,2020-03-05T00:00:00.000Z,Berlin,W,A35-A59,3,0,3,0
223,2020-03-06T00:00:00.000Z,Berlin,W,A35-A59,3,0,6,0
296,2020-03-08T00:00:00.000Z,Berlin,W,A35-A59,1,0,7,0
343,2020-03-09T00:00:00.000Z,Berlin,W,A35-A59,1,0,8,0
416,2020-03-10T00:00:00.000Z,Berlin,W,A35-A59,9,0,17,0
510,2020-03-11T00:00:00.000Z,Berlin,W,A35-A59,5,0,22,0
612,2020-03-12T00:00:00.000Z,Berlin,W,A35-A59,9,0,31,0
726,2020-03-13T00:00:00.000Z,Berlin,W,A35-A59,9,0,40,0
840,2020-03-14T00:00:00.000Z,Berlin,W,A35-A59,6,0,46,0
940,2020-03-15T00:00:00.000Z,Berlin,W,A35-A59,9,0,55,0
1047,2020-03-16T00:00:00.000Z,Berlin,W,A35-A59,11,0,66,0
1176,2020-03-17T00:00:00.000Z,Berlin,W,A35-A59,25,0,91,0
1328,2020-03-18T00:00:00.000Z,Berlin,W,A35-A59,28,0,119,0
1483,2020-03-19T00:00:00.000Z,Berlin,W,A35-A59,29,0,148,0
1624,2020-03-20T00:00:00.000Z,Berlin,W,A35-A59,22,0,170,0
344,2020-03-09T00:00:00.000Z,Berlin,W,A60-A79,2,0,2,0
417,2020-03-10T00:00:00.000Z,Berlin,W,A60-A79,1,0,3,0
613,2020-03-12T00:00:00.000Z,Berlin,W,A60-A79,4,0,7,0
727,2020-03-13T00:00:00.000Z,Berlin,W,A60-A79,3,0,10,0
841,2020-03-14T00:00:00.000Z,Berlin,W,A60-A79,1,0,11,0
941,2020-03-15T00:00:00.000Z,Berlin,W,A60-A79,1,0,12,0
1048,2020-03-16T00:00:00.000Z,Berlin,W,A60-A79,2,0,14,0
1177,2020-03-17T00:00:00.000Z,Berlin,W,A60-A79,3,0,17,0
1329,2020-03-18T00:00:00.000Z,Berlin,W,A60-A79,6,0,23,0
1484,2020-03-19T00:00:00.000Z,Berlin,W,A60-A79,9,0,32,0
1625,2020-03-20T00:00:00.000Z,Berlin,W,A60-A79,1,0,33,0
508,2020-03-11T00:00:00.000Z,Berlin,W,A00-A04,1,0,1,0
614,2020-03-12T00:00:00.000Z,Berlin,W,A80+,1,0,1,0
1049,2020-03-16T00:00:00.000Z,Berlin,W,A80+,2,0,3,0
1330,2020-03-18T00:00:00.000Z,Berlin,W,A80+,2,0,5,0
113,2020-03-03T00:00:00.000Z,Mecklenburg-Vorpommern,M,A60-A79,1,0,1,0
301,2020-03-08T00:00:00.000Z,Mecklenburg-Vorpommern,M,A60-A79,1,0,2,0
1216,2020-03-17T00:00:00.000Z,Mecklenburg-Vorpommern,M,A60-A79,1,0,3,0
1361,2020-03-18T00:00:00.000Z,Mecklenburg-Vorpommern,M,A60-A79,4,0,7,0
1520,2020-03-19T00:00:00.000Z,Mecklenburg-Vorpommern,M,A60-A79,4,0,11,0
145,2020-03-04T00:00:00.000Z,Mecklenburg-Vorpommern,M,A35-A59,2,0,2,0
187,2020-03-05T00:00:00.000Z,Mecklenburg-Vorpommern,M,A35-A59,1,0,3,0
362,2020-03-09T00:00:00.000Z,Mecklenburg-Vorpommern,M,A35-A59,3,0,6,0
538,2020-03-11T00:00:00.000Z,Mecklenburg-Vorpommern,M,A35-A59,4,0,10,0
637,2020-03-12T00:00:00.000Z,Mecklenburg-Vorpommern,M,A35-A59,4,0,14,0
756,2020-03-13T00:00:00.000Z,Mecklenburg-Vorpommern,M,A35-A59,4,0,18,0
1077,2020-03-16T00:00:00.000Z,Mecklenburg-Vorpommern,M,A35-A59,4,0,22,0
1215,2020-03-17T00:00:00.000Z,Mecklenburg-Vorpommern,M,A35-A59,15,0,37,0
1360,2020-03-18T00:00:00.000Z,Mecklenburg-Vorpommern,M,A35-A59,15,0,52,0
1519,2020-03-19T00:00:00.000Z,Mecklenburg-Vorpommern,M,A35-A59,8,0,60,0
1646,2020-03-20T00:00:00.000Z,Mecklenburg-Vorpommern,M,A35-A59,2,0,62,0
537,2020-03-11T00:00:00.000Z,Mecklenburg-Vorpommern,M,A05-A14,1,0,1,0
636,2020-03-12T00:00:00.000Z,Mecklenburg-Vorpommern,M,A15-A34,4,0,4,0
755,2020-03-13T00:00:00.000Z,Mecklenburg-Vorpommern,M,A15-A34,1,0,5,0
1076,2020-03-16T00:00:00.000Z,Mecklenburg-Vorpommern,M,A15-A34,6,0,11,0
1214,2020-03-17T00:00:00.000Z,Mecklenburg-Vorpommern,M,A15-A34,8,0,19,0
1359,2020-03-18T00:00:00.000Z,Mecklenburg-Vorpommern,M,A15-A34,11,0,30,0
1518,2020-03-19T00:00:00.000Z,Mecklenburg-Vorpommern,M,A15-A34,6,0,36,0
1645,2020-03-20T00:00:00.000Z,Mecklenburg-Vorpommern,M,A15-A34,2,0,38,0
1362,2020-03-18T00:00:00.000Z,Mecklenburg-Vorpommern,M,A80+,1,0,1,0
114,2020-03-03T00:00:00.000Z,Mecklenburg-Vorpommern,W,A60-A79,1,0,1,0
302,2020-03-08T00:00:00.000Z,Mecklenburg-Vorpommern,W,A60-A79,1,0,2,0
1219,2020-03-17T00:00:00.000Z,Mecklenburg-Vorpommern,W,A60-A79,1,0,3,0
1523,2020-03-19T00:00:00.000Z,Mecklenburg-Vorpommern,W,A60-A79,5,0,8,0
363,2020-03-09T00:00:00.000Z,Mecklenburg-Vorpommern,W,A15-A34,1,0,1,0
757,2020-03-13T00:00:00.000Z,Mecklenburg-Vorpommern,W,A15-A34,1,0,2,0
1078,2020-03-16T00:00:00.000Z,Mecklenburg-Vorpommern,W,A15-A34,3,0,5,0
1217,2020-03-17T00:00:00.000Z,Mecklenburg-Vorpommern,W,A15-A34,3,0,8,0
1363,2020-03-18T00:00:00.000Z,Mecklenburg-Vorpommern,W,A15-A34,3,0,11,0
1521,2020-03-19T00:00:00.000Z,Mecklenburg-Vorpommern,W,A15-A34,5,0,16,0
1647,2020-03-20T00:00:00.000Z,Mecklenburg-Vorpommern,W,A15-A34,1,0,17,0
539,2020-03-11T00:00:00.000Z,Mecklenburg-Vorpommern,W,A35-A59,3,0,3,0
638,2020-03-12T00:00:00.000Z,Mecklenburg-Vorpommern,W,A35-A59,1,0,4,0
758,2020-03-13T00:00:00.000Z,Mecklenburg-Vorpommern,W,A35-A59,2,0,6,0
865,2020-03-14T00:00:00.000Z,Mecklenburg-Vorpommern,W,A35-A59,1,0,7,0
962,2020-03-15T00:00:00.000Z,Mecklenburg-Vorpommern,W,A35-A59,1,0,8,0
1079,2020-03-16T00:00:00.000Z,Mecklenburg-Vorpommern,W,A35-A59,1,0,9,0
1218,2020-03-17T00:00:00.000Z,Mecklenburg-Vorpommern,W,A35-A59,3,0,12,0
1364,2020-03-18T00:00:00.000Z,Mecklenburg-Vorpommern,W,A35-A59,8,0,20,0
1522,2020-03-19T00:00:00.000Z,Mecklenburg-Vorpommern,W,A35-A59,4,0,24,0
1648,2020-03-20T00:00:00.000Z,Mecklenburg-Vorpommern,W,A35-A59,2,0,26,0
1365,2020-03-18T00:00:00.000Z,Mecklenburg-Vorpommern,W,A80+,1,0,1,0
127,2020-03-03T00:00:00.000Z,Thüringen,M,A35-A59,1,0,1,0
479,2020-03-10T00:00:00.000Z,Thüringen,M,A35-A59,4,0,5,0
688,2020-03-12T00:00:00.000Z,Thüringen,M,A35-A59,5,0,10,0
808,2020-03-13T00:00:00.000Z,Thüringen,M,A35-A59,3,0,13,0
912,2020-03-14T00:00:00.000Z,Thüringen,M,A35-A59,9,0,22,0
1139,2020-03-16T00:00:00.000Z,Thüringen,M,A35-A59,1,0,23,0
1286,2020-03-17T00:00:00.000Z,Thüringen,M,A35-A59,9,0,32,0
1436,2020-03-18T00:00:00.000Z,Thüringen,M,A35-A59,9,0,41,0
1586,2020-03-19T00:00:00.000Z,Thüringen,M,A35-A59,11,0,52,0
1688,2020-03-20T00:00:00.000Z,Thüringen,M,A35-A59,12,0,64,0
478,2020-03-10T00:00:00.000Z,Thüringen,M,A15-A34,2,0,2,0
807,2020-03-13T00:00:00.000Z,Thüringen,M,A15-A34,3,0,5,0
911,2020-03-14T00:00:00.000Z,Thüringen,M,A15-A34,2,0,7,0
1138,2020-03-16T00:00:00.000Z,Thüringen,M,A15-A34,3,0,10,0
1285,2020-03-17T00:00:00.000Z,Thüringen,M,A15-A34,3,0,13,0
1435,2020-03-18T00:00:00.000Z,Thüringen,M,A15-A34,5,0,18,0
1585,2020-03-19T00:00:00.000Z,Thüringen,M,A15-A34,6,0,24,0
1687,2020-03-20T00:00:00.000Z,Thüringen,M,A15-A34,6,0,30,0
689,2020-03-12T00:00:00.000Z,Thüringen,M,A60-A79,1,0,1,0
809,2020-03-13T00:00:00.000Z,Thüringen,M,A60-A79,3,0,4,0
1140,2020-03-16T00:00:00.000Z,Thüringen,M,A60-A79,1,0,5,0
1287,2020-03-17T00:00:00.000Z,Thüringen,M,A60-A79,1,0,6,0
1437,2020-03-18T00:00:00.000Z,Thüringen,M,A60-A79,1,0,7,0
1587,2020-03-19T00:00:00.000Z,Thüringen,M,A60-A79,2,0,9,0
1689,2020-03-20T00:00:00.000Z,Thüringen,M,A60-A79,2,0,11,0
1284,2020-03-17T00:00:00.000Z,Thüringen,M,A05-A14,2,0,2,0
1686,2020-03-20T00:00:00.000Z,Thüringen,M,A05-A14,1,0,3,0
1588,2020-03-19T00:00:00.000Z,Thüringen,M,A80+,1,0,1,0
280,2020-03-07T00:00:00.000Z,Thüringen,W,A60-A79,1,0,1,0
481,2020-03-10T00:00:00.000Z,Thüringen,W,A60-A79,1,0,2,0
693,2020-03-12T00:00:00.000Z,Thüringen,W,A60-A79,1,0,3,0
1143,2020-03-16T00:00:00.000Z,Thüringen,W,A60-A79,2,0,5,0
1290,2020-03-17T00:00:00.000Z,Thüringen,W,A60-A79,2,0,7,0
1441,2020-03-18T00:00:00.000Z,Thüringen,W,A60-A79,2,0,9,0
1591,2020-03-19T00:00:00.000Z,Thüringen,W,A60-A79,1,0,10,0
1693,2020-03-20T00:00:00.000Z,Thüringen,W,A60-A79,2,0,12,0
480,2020-03-10T00:00:00.000Z,Thüringen,W,A35-A59,2,0,2,0
586,2020-03-11T00:00:00.000Z,Thüringen,W,A35-A59,1,0,3,0
692,2020-03-12T00:00:00.000Z,Thüringen,W,A35-A59,2,0,5,0
1142,2020-03-16T00:00:00.000Z,Thüringen,W,A35-A59,5,0,10,0
1289,2020-03-17T00:00:00.000Z,Thüringen,W,A35-A59,4,0,14,0
1440,2020-03-18T00:00:00.000Z,Thüringen,W,A35-A59,6,0,20,0
1590,2020-03-19T00:00:00.000Z,Thüringen,W,A35-A59,16,0,36,0
1692,2020-03-20T00:00:00.000Z,Thüringen,W,A35-A59,7,0,43,0
690,2020-03-12T00:00:00.000Z,Thüringen,W,A05-A14,1,0,1,0
1690,2020-03-20T00:00:00.000Z,Thüringen,W,A05-A14,1,0,2,0
691,2020-03-12T00:00:00.000Z,Thüringen,W,A15-A34,1,0,1,0
810,2020-03-13T00:00:00.000Z,Thüringen,W,A15-A34,1,0,2,0
913,2020-03-14T00:00:00.000Z,Thüringen,W,A15-A34,5,0,7,0
1141,2020-03-16T00:00:00.000Z,Thüringen,W,A15-A34,1,0,8,0
1288,2020-03-17T00:00:00.000Z,Thüringen,W,A15-A34,3,0,11,0
1439,2020-03-18T00:00:00.000Z,Thüringen,W,A15-A34,4,0,15,0
1589,2020-03-19T00:00:00.000Z,Thüringen,W,A15-A34,1,0,16,0
1691,2020-03-20T00:00:00.000Z,Thüringen,W,A15-A34,4,0,20,0
1438,2020-03-18T00:00:00.000Z,Thüringen,W,A00-A04,1,0,1,0
316,2020-03-08T00:00:00.000Z,Saarland,M,A35-A59,1,0,1,0
383,2020-03-09T00:00:00.000Z,Saarland,M,A35-A59,2,0,3,0
461,2020-03-10T00:00:00.000Z,Saarland,M,A35-A59,1,0,4,0
564,2020-03-11T00:00:00.000Z,Saarland,M,A35-A59,6,0,10,0
665,2020-03-12T00:00:00.000Z,Saarland,M,A35-A59,9,0,19,0
783,2020-03-13T00:00:00.000Z,Saarland,M,A35-A59,3,0,22,0
893,2020-03-14T00:00:00.000Z,Saarland,M,A35-A59,2,0,24,0
996,2020-03-15T00:00:00.000Z,Saarland,M,A35-A59,8,0,32,0
1115,2020-03-16T00:00:00.000Z,Saarland,M,A35-A59,3,0,35,0
1256,2020-03-17T00:00:00.000Z,Saarland,M,A35-A59,4,0,39,0
1404,2020-03-18T00:00:00.000Z,Saarland,M,A35-A59,7,0,46,0
1551,2020-03-19T00:00:00.000Z,Saarland,M,A35-A59,5,0,51,0
1668,2020-03-20T00:00:00.000Z,Saarland,M,A35-A59,8,0,59,0
382,2020-03-09T00:00:00.000Z,Saarland,M,A15-A34,2,0,2,0
563,2020-03-11T00:00:00.000Z,Saarland,M,A15-A34,1,0,3,0
892,2020-03-14T00:00:00.000Z,Saarland,M,A15-A34,2,0,5,0
995,2020-03-15T00:00:00.000Z,Saarland,M,A15-A34,1,0,6,0
1114,2020-03-16T00:00:00.000Z,Saarland,M,A15-A34,2,0,8,0
1255,2020-03-17T00:00:00.000Z,Saarland,M,A15-A34,1,0,9,0
1403,2020-03-18T00:00:00.000Z,Saarland,M,A15-A34,4,0,13,0
